Numero_BFS;Data_Vistoria;Data_Fiscalizacao;Status;Fiscal;Contratada;Regionaal;Tipo_Servico;Qtd_Inspecoes;Endereco;Coordenadas_Aceite;Coordenadas_Resposta;Coordenadas_Vistoria
1054;03/10/2025 10:01:48;03/10/2025 10:00:25;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Luís Sérgio Person, 268 - Parque Mandaqui, São Paulo - SP, 02422-230, Brasil;;-23,4718577,-46,6394562;-23.471810188652157,-46.639431522966866
1056;03/10/2025 10:05:46;03/10/2025 10:04:51;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Teodoro Alba, 9 - Parque Mandaqui, São Paulo - SP, 02422-260, Brasil;;-23,473776,-46,6385251;-23.4737985,-46.6386146
1148;03/10/2025 14:00:15;03/10/2025 13:57:58;Com Irregularidades;Vicente Malanga;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Luís Rosanova, 35 - Água Fria, São Paulo - SP, 02335-090, Brasil;;-23,4842319,-46,6206264;-23.48422837892208,-46.62053133262928
1316;06/10/2025 09:14:56;06/10/2025 09:11:10;Com Irregularidades;Vicente Malanga;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;Rua Duarte de Azevedo, 912 - Santana, São Paulo - SP, 02036-022, Brasil;;-23,501015,-46,616735;-23.501043737761673,-46.61669154214474
1344;06/10/2025 09:26:21;06/10/2025 09:23:00;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Equipe de Mutirão de Zeladoria de Vias e Logradouros Públicos;1;R. Porto Velho, 167 - Imirim, São Paulo - SP, 02467-000, Brasil;;-23,4928095,-46,6451753;-23.4929708,-46.645471
1357;06/10/2025 09:30:58;06/10/2025 09:28:02;Com Irregularidades;Vicente Malanga;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Varrição manual de vias e logradouros públicos;1;Av. Gen. Ataliba Leonel, 555 - Santana, São Paulo - SP, 02033-000, Brasil;;-23,5050894,-46,6219229;-23.50519449186139,-46.62195614723761
1375;06/10/2025 09:36:20;06/10/2025 09:35:06;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;R. Monsenhor Gonçalves, 8 - Imirim, São Paulo - SP, 02467-030, Brasil;;-23,4924474,-46,6456444;-23.4926171,-46.6455897
1385;06/10/2025 09:40:47;06/10/2025 09:39:15;Com Irregularidades;José de Arimatea de Souza Almeida;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Coleta e transporte de entulho e grandes objetos depositados irregularmente nas vias, logradouros  e áreas públicas;1;Tv. Messias Ferreira Azevedo Filho, 1 - Chora Menino, São Paulo - SP, 02467-004, Brasil;;-23,490765,-46,6439917;-23.4908204,-46.6438966
1400;06/10/2025 09:48:16;06/10/2025 09:44:26;Com Irregularidades;Vicente Malanga;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Varrição manual de vias e logradouros públicos;1;R. Voluntários da Pátria, 2028 - Santana, São Paulo - SP, 02010-700, Brasil;;-23,5019125,-46,6261758;-23.50241651070351,-46.626279902639425
1406;06/10/2025 09:51:47;06/10/2025 09:50:04;Com Irregularidades;Vicente Malanga;LOTE 3 - LIMPEBRAS | 40/SMSUB/COGEL/2025;Santana/Tucuruvi;Varrição manual de vias e logradouros públicos;1;R. Voluntários da Pátria, 2106 - Santana, São Paulo - SP, 02010-800, Brasil;;-23,5018692,-46,6260757;-23.501760014345166,-46.62605124917804
